Ticker,Strike,Bid,Ask,Last,IVM,Volm,Ticker,Strike,Bid,Ask,Last,IVM,Volm
HSI 11/29/23 C18200,18200,880,955,926,22.65279388,0,HSI 11/29/23 P18200,18200,729,747,734,22.54539299,2
HSI 11/29/23 C18300,18300,844,879,866,22.47599411,0,HSI 11/29/23 P18300,18300,775,797,783,22.50860405,0
HSI 11/29/23 C18400,18400,811,828,821,22.63372231,3,HSI 11/29/23 P18400,18400,823,848,835,22.46403503,0
HSI 11/29/23 C18500,18500,758,779,766,22.49111748,0,HSI 11/29/23 P18500,18500,869,900,885,22.35120773,4
HSI 11/29/23 C18600,18600,712,732,722,22.424757,0,HSI 11/29/23 P18600,18600,922,950,937,22.25999451,0
HSI 11/29/23 C18700,18700,667,687,677,22.34662819,0,HSI 11/29/23 P18700,18700,974,1005,995,22.17006683,0
HSI 11/29/23 C18800,18800,625,644,639,22.28655815,0,HSI 11/29/23 P18800,18800,1010,1084,1048,22.13900185,0
HSI 11/29/23 C18900,18900,587,603,599,22.25682449,0,HSI 11/29/23 P18900,18900,1072,1147,1110,22.19391823,0
HSI 11/29/23 C19000,19000,550,565,561,22.23363876,4,HSI 11/29/23 P19000,19000,1133,1208,1171,22.15860939,0
HSI 11/29/23 C19100,19100,516,529,526,22.23620605,0,HSI 11/29/23 P19100,19100,1204,1279,1234,22.36152267,0
HSI 11/29/23 C19200,19200,476,493,494,22.0993557,5,HSI 11/29/23 P19200,19200,1263,1338,1301,22.17160797,1
HSI 11/29/23 C19300,19300,450,462,462,22.18865204,0,HSI 11/29/23 P19300,19300,1286,1359,1375,20.83577919,0
28-Dec-23 (119d); CSize 50,,,,,,,,,,,,,
HSI 12/28/23 C17400,17400,0,0,1599,0,0,HSI 12/28/23 P17400,17400,520,532,522,23.05150032,0
HSI 12/28/23 C17500,17500,1506,1583,1531,25.03642082,2,HSI 12/28/23 P17500,17500,551,565,552,22.93808556,0
HSI 12/28/23 C17600,17600,0,0,1464,0,0,HSI 12/28/23 P17600,17600,583,598,587,22.80054855,0
HSI 12/28/23 C17700,17700,1371,1444,1399,24.53644371,0,HSI 12/28/23 P17700,17700,618,633,618,22.68885994,0
HSI 12/28/23 C17800,17800,1300,1326,1313,23.59518051,0,HSI 12/28/23 P17800,17800,653,672,660,22.59412384,0
HSI 12/28/23 C17900,17900,1238,1263,1251,23.42207718,0,HSI 12/28/23 P17900,17900,691,708,694,22.45701981,0
HSI 12/28/23 C18000,18000,1177,1203,1190,23.26327133,0,HSI 12/28/23 P18000,18000,730,751,736,22.38078499,3
HSI 12/28/23 C18100,18100,1101,1176,1139,23.2866478,0,HSI 12/28/23 P18100,18100,771,794,779,22.29033279,0
HSI 12/28/23 C18200,18200,1044,1119,1090,23.13952065,0,HSI 12/28/23 P18200,18200,815,838,820,22.20953941,0
HSI 12/28/23 C18300,18300,989,1064,1035,23.00385666,0,HSI 12/28/23 P18300,18300,860,884,868,22.12522507,0
HSI 12/28/23 C18400,18400,954,1000,976,22.96215248,0,HSI 12/28/23 P18400,18400,906,942,913,22.15795898,1
HSI 12/28/23 C18500,18500,904,950,926,22.87100601,0,HSI 12/28/23 P18500,18500,955,993,966,22.10320282,0
HSI 12/28/23 C18600,18600,856,892,878,22.67163086,0,HSI 12/28/23 P18600,18600,979,1051,1015,21.79629326,0
HSI 12/28/23 C18700,18700,809,842,832,22.54088783,0,HSI 12/28/23 P18700,18700,1031,1104,1069,21.72301292,0
HSI 12/28/23 C18800,18800,765,796,791,22.45581818,0,HSI 12/28/23 P18800,18800,1087,1157,1125,21.65822411,0
