Tenor,Maturity Date,Days,Yield
1W,6/9/2023,5,6.481
1M,27/9/2023,21,3.164
2M,25/10/2024,42,3.286
9M,5/6/2024,189,4.09
2Y,25/8/2025,504,3.921
3Y,24/2/2027,756,3.735
5Y,22/8/2028,1260,3.669
7Y,27/8/2029,1764,3.705
